0.49	0.8739	0.04	1
0.4925	0.843	0.04	1
0.495	0.899	0.04	1
0.4975	0.9042	0.04	1
0.5	0.8812	0.04	1
0.5025	0.8799	0.04	1
0.505	0.9026	0.04	1
0.5075	0.8859	0.04	1
0.51	0.9001	0.04	1
0.5125	0.9062	0.04	1
0.515	0.86	0.04	1
0.5175	0.8943	0.04	1
0.52	0.9387	0.04	1
0.5225	0.8898	0.04	1
0.525	0.9131	0.04	1
0.5275	0.9269	0.04	1
0.53	0.9923	0.04	1
0.5325	0.985	0.04	1
0.535	0.9596	0.04	1
0.5375	1.0032	0.04	1
0.54	0.9576	0.04	1
0.5425	1.012	0.04	1
0.545	0.9978	0.04	1
0.5475	1.0008	0.04	1
0.55	1.0008	0.04	1
0.5525	0.996	0.04	1
0.555	1.0452	0.04	1
0.5575	1.0035	0.04	1
0.56	0.986	0.04	1
0.5625	1.0303	0.04	1
0.565	1.0127	0.04	1
0.5675	1.0096	0.04	1
0.57	1.0154	0.04	1
0.5725	1.0231	0.04	1
0.575	1.0136	0.04	1
0.5775	1.0166	0.04	1
0.58	1.0537	0.04	1
0.5825	1.0245	0.04	1
0.585	1.055	0.04	1
0.59	1.0755	0.04	1
0.5925	1.0525	0.04	1
0.595	1.0428	0.04	1
0.5975	1.0503	0.04	1
0.6	1.033	0.04	1
0.6025	1.052	0.04	1
0.605	1.0363	0.04	1
0.6075	1.0576	0.04	1
0.61	1.0401	0.04	1
0.6125	1.0748	0.04	1
0.615	1.0567	0.04	1
0.6175	1.0484	0.04	1
0.62	1.092	0.04	1
0.6225	1.0566	0.04	1
0.625	1.105	0.04	1
0.6275	1.0803	0.04	1
0.63	1.1025	0.04	1
0.6325	1.1125	0.04	1
0.635	1.1079	0.04	1
0.6375	1.0811	0.04	1
0.64	1.12	0.04	1
0.6425	1.1041	0.04	1
0.645	1.0932	0.04	1
0.6475	1.1215	0.04	1
0.65	1.1291	0.04	1
0.6525	1.1151	0.04	1
0.6575	1.1327	0.04	1
0.66	1.1241	0.04	1
0.6625	1.131	0.04	1
0.665	1.1304	0.04	1
0.6675	1.1476	0.04	1
0.67	1.1182	0.04	1
0.6725	1.1361	0.04	1
0.675	1.1554	0.04	1
0.6775	1.1774	0.04	1
0.68	1.1548	0.04	1
0.6825	1.1506	0.04	1
0.685	1.1709	0.04	1
0.6875	1.1612	0.04	1
0.69	1.1626	0.04	1
0.6925	1.189	0.04	1
0.695	1.1889	0.04	1
0.6975	1.2346	0.04	1
0.7	1.1752	0.04	1
0.7025	1.2205	0.04	1
0.705	1.1958	0.04	1
0.7075	1.1787	0.04	1
0.71	1.2008	0.04	1
0.7125	1.1816	0.04	1
0.715	1.2053	0.04	1
0.7175	1.2111	0.04	1
0.72	1.1977	0.04	1
0.7225	1.2291	0.04	1
0.725	1.2481	0.04	1
0.7275	1.2967	0.04	1
0.73	1.2512	0.04	1
0.7325	1.266	0.04	1
0.735	1.2709	0.04	1
0.7375	1.2163	0.04	1
0.74	1.1779	0.04	1
0.7425	1.2166	0.04	1
0.745	1.24	0.04	1
0.7475	1.1549	0.04	1
0.75	1.2141	0.04	1
0.7525	1.2223	0.04	1
0.755	1.2011	0.04	1
0.7575	1.182	0.04	1
0.76	1.2708	0.04	1
0.7625	1.202	0.04	1
0.765	1.2814	0.04	1
0.7675	1.1861	0.04	1
0.77	1.2097	0.04	1
0.7725	1.2268	0.04	1
0.775	1.2835	0.04	1
0.7775	1.1721	0.04	1
0.78	1.2076	0.04	1
0.7825	1.2561	0.04	1
0.7875	1.2143	0.04	1
0.79	1.232	0.04	1
0.7925	1.2098	0.04	1
0.795	1.1808	0.04	1
0.7975	1.263	0.04	1
0.8	1.1681	0.04	1
0.8025	1.2061	0.04	1
0.805	1.165	0.04	1
0.8075	1.2394	0.04	1
0.81	1.1901	0.04	1
0.8125	1.1993	0.04	1
0.815	1.1627	0.04	1
0.8175	1.1606	0.04	1
0.82	1.1556	0.0294	4
0.825	1.1525	0.0284	4
0.83	1.1429	0.0292	4
0.835	1.1349	0.0287	4
0.84	1.1439	0.0291	4
0.845	1.1568	0.0278	4
0.85	1.1457	0.0265	4
0.855	1.1274	0.0263	4
0.86	1.1193	0.0253	4
0.865	1.1148	0.0263	4
0.87	1.1179	0.0256	4
0.875	1.1089	0.026	4
0.88	1.1181	0.0293	4
0.885	1.1312	0.0296	4
0.89	1.124	0.0289	4
0.895	1.1255	0.0281	4
0.9	1.1131	0.0242	4
0.905	1.0811	0.0243	4
